frame,value
0,22.939224
1,25.557423
2,25.366072
3,22.593405
4,25.101128
5,24.788454
6,22.271572
7,25.052782
8,24.696369
9,22.134043
10,24.765120
11,24.420042
12,21.931574
13,24.726341
14,24.295330
15,21.984322
16,24.770544
17,24.286705
18,21.992563
19,24.713631
20,24.253860
21,21.902500
22,24.973967
23,24.353727
24,23.275448
25,25.865831
26,25.018137
27,22.896738
28,26.045980
29,25.003914
30,22.851950
31,26.036615
32,25.047510
33,22.813625
34,25.668428
35,24.817545
36,22.373228
37,25.136162
38,24.541260
39,22.193737
40,24.883392
41,24.438046
42,22.087831
43,24.746712
44,24.512323
45,21.887066
46,24.756046
47,24.369589
48,23.062901
49,25.196014
average,24.067935